D01-A01,F01-EA1,D01,A,File,erasure,Fic.eff,IF.L,Exp,Exp,,,,,A,A,"Accidental erasure of files  of data, due to a production incident"
D01-A02,F01-ER1,D01,A,File,erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,Ual,E,A,"Erasure, due to an error, of files  of data, by a user authorized legitimately, connected from the internal network"
D01-A03,F01-ER1,D01,A,File,erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,Uai,E,A,"Erasure, due to an error, of files  of data, by a user authorized illegitimately, connected from the internal network"
D01-A04,F01-ER1,D01,A,File,erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,Una,E,A,"Erasure, due to an error, of files  of data, by a user not authorized, connected from the internal network"
D01-A05,F01-ER1,D01,A,File,erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,E,E,A,"Erasure, due to an error, of files  of data, by a member of the production team, connected from the internal network"
D01-A06,F01-ER1,D01,A,File,erasure,Fic.eff,ER.P,Pro,Exp,,Ain,,M,E,A,"Erasure, due to an error, of files  of data, by a member of the maintenance team , connected from the internal network"
D01-A07,F01-EM1,D01,A,File,erasure,Fic.eff,MA.L,Del,Exp,,Ain,,Ual,M,A,"Malicious erasure of files and backups  of data, by a user authorized legitimately, connected from the internal network"
D01-A08,F01-EM1,D01,A,File,erasure,Fic.eff,MA.L,Del,Exp,,Ain,,Uai,M,A,"Malicious erasure of files and backups  of data, by a user authorized illegitimately, connected from the internal network"
D01-A09,F01-EM1,D01,A,File,erasure,Fic.eff,MA.L,Del,Exp,,Ain,,Una,M,A,"Malicious erasure of files and backups  of data, by a user not authorized, connected from the internal network"
D01-A10,F01-EM1,D01,A,File,erasure,Fic.eff,MA.L,Del,Exp,,Ain,,E,M,A,"Malicious erasure of files and backups  of data, by a member of the production team, connected from the internal network"
D01-A11,F01-EM1,D01,A,File,erasure,Fic.eff,MA.L,Del,Exp,,Ain,,M,M,A,"Malicious erasure of files and backups  of data, by a member of the maintenance team , connected from the internal network"
D01-A12,F01-EM1,D01,A,File,erasure,Fic.eff,MA.L,Del,Exp,,Atm,,Tie,M,A,"Malicious erasure of files and backups  of data, by an unauthorized third party , connected through a remote maintenance port "
D01-A13,F01-EM3,D01,A,File,erasure,Fic.eff,MA.L,Tot,,,Atm,,E,M,A,"Malicious total erasure of files and backups  of data, by a member of the production team, connected through a remote maintenance port "
D01-A14,F01-PA1,D01,A,File,Pollution,Fic.pol,ER.P,Pro,,,,Mal,M,A,A,"Pollution, by accident, of files  of data due to a procedure error, during a software maintenance operation"
D01-A15,F01-PA1,D01,A,File,Pollution,Fic.pol,ER.P,Pro,,,,Mac,M,A,A,"Pollution, by accident, of files  of data due to a procedure error, during a hot maintenance operation"
D01-A16,F01-PA1,D01,A,File,Pollution,Fic.pol,IF.L,Exp,,,,,,A,A,"Pollution, by accident, of files  of data due to a production incident"
D01-A17,F01-PM1,D01,A,File,Pollution,Fic.pol,MA.L,Fal,,,Ain,Exp,Uai,M,A,"Malicious pollution of files  of data, by a user authorized illegitimately, connected from the internal network"
D01-A18,F01-PM1,D01,A,File,Pollution,Fic.pol,MA.L,Fal,,,Ain,Exp,Una,M,A,"Malicious pollution of files  of data, by a user not authorized, connected from the internal network"
D01-A19,F01-PM1,D01,A,File,Pollution,Fic.pol,MA.L,Fal,,,Ain,Exp,E,M,A,"Malicious pollution of files  of data, by a member of the production team, connected from the internal network"
D01-A20,F01-PM1,D01,A,File,Pollution,Fic.pol,MA.L,Fal,,,Ain,Exp,M,M,A,"Malicious pollution of files  of data, by a member of the maintenance team , connected from the internal network"
D01-A21,F02-AC1,D01,A,Media,Destruction,Med.des,AC.E,Inc,Exp,,,,,A,A,"Loss, due to accidental destruction, of media supporting files  of data, within the production premises, due  to a fire"
D01-A22,F02-AC1,D01,A,Media,Destruction,Med.des,AC.E,Ino,Exp,,,,,A,A,"Loss, due to accidental destruction, of media supporting files  of data, within the production premises, due  to flooding"
D01-A23,F02-AC1,D01,A,Media,Destruction,Med.des,AC.E,Inc,Med,,,,,A,A,"Loss, due to accidental destruction, of media supporting files  of data, in the media storage premises, due to a fire"
D01-A24,F02-AC1,D01,A,Media,Destruction,Med.des,AC.E,Ino,Med,,,,,A,A,"Loss, due to accidental destruction, of media supporting files  of data, in the media storage premises, due to flooding"
