01|MEHARI_OrganizationSecurity|||||||
01A|Roles and Structures of Security|||||||
01A01|Organization and Management of General Security|||||||
01A01-01|Are dedicated managers  (computer and telecom security, general security in the workplace (documents, fax, telephone), general physical security of the sites and premises) or a designated point of contact (HR for awareness and training, work contracts, user account and access rights management, responsibility for disciplining malicious acts or internal negligence) assigned to all areas of security?|4|2||E1|||
01A01-02|For each security manager, is there a clear definition of the job function detailing, in particular, its objectives, responsibilities and interfaces with other areas concerned with security?|4|||E2|12.6.1||
01A01-03|Are security management actions represented on dashboards and regularly reviewed?|4|||E2|12.6.1||
01A01-04|Is there a committee or structure bringing together all security managers, from all disciplines, in order to coordinate the various security related actions, take cross decisions, and meet regularly?|2|||R1|12.6.1||
01A01-05|Is the approach to security clearly recognized and supported by senior management?|2|||E2|||
01A02|Organization and Supervision of Information Systems Security|||||||
01A02-01|Is there a document describing the security policy related to information systems and in particular the organization, management and supervising of security (roles and responsibilities) as well as the fundamental principles underlying information security management?|2|||E1|5.1.1|5.1.1|
01A02-02|Is this Security Policy revised, on a regular basis or when major changes are done, to ensure the upholding of its relevancy and efficiency?|1|||E2|5.1.2|5.1.2|
01A02-03|Have the structure and organization of the management of information systems security been defined in detail: CISO, local responsibilities and contacts, roles and responsibilities towards operational managers and is this organizational structure in operation?|4|2|3|E2|6.1.1|6.1.2|
01A02-04|Has this structure the capacity to alert senior management without delay in the case of a serious incident?|2|||E2|6.1.1|6.1.2|
01A02-05|Have the mode of managing security and the decision processes been defined in detail: methodology used (for audit of exposure, risk analysis etc.), associated tools, actors (organization, support, training, expertise, advice etc.)?|4|||E2|6.1.1|6.1.2|
01A02-06|Have the respective roles of security managers, operational managers and managers of functional domains (information owners) been clearly defined with regard to final decision making and arbitration?|4|2||E2|6.1.1|6.1.3|
01A02-07|Has a mode of information systems security management been defined: dashboards (contents and frequency), management structure, orientation and reporting?|4|||E2|6.1.1|6.1.3|
01A02-08|Is an annual information systems security plan established which brings together all action plans, means to put in place, planning, budget?|2||2|E2|5.1.2||
01A02-09|Is the Company's  Management involved in the organization of the information security, particularly in the development and the approbation of the security policy, responsibilities definition, resource allocation, and the efficiency control of the actions taken?|1|||E2|6.1.1|6.1.1|
01A02-10|Is a contact maintained with the concerned authorities regarding information security and crisis situation (Police, Reporting Services, Legal Administration, Firemen, Public Services, etc.) ?|1|||E2|6.1.3|6.1.6|
01A02-11|Does the organization improve knowledge about best security practices and maintain contacts with interest groups, associations, conferences, etc?|1|3||E2|6.1.4; 12.6.1|6.1.7|
01A02-12|Are the responsibilities and procedures established to provide quick and efficient solutions to the security incidents?|2|||E2|16.1.1; 16.1.2|13.2.1; 13.1.1|
01A02-13|Is there a procedure for regularly updating organizational documents related to information systems security in line with changing organization structures?|2|3||R1|18.2.1; 12.6.1|6.1.8|
01A03|General reporting system and incident management system|||||||
01A03-01|Is there an incident reporting system which relays incidents to Information Systems Security correspondents including an incident summary for the CISO?|2|||E1|16.1.2|13.1.1|
01A03-02|Does this reporting system include all incidents (operation, development, maintenance, usage of the information system) physical, logical or organizational?|4|2||E1|16.1.2|13.1.1|
01A03-03|Does this reporting system include malevolent actions and failed attempts to breach security?|4|3||E3|16.1.2|13.1.1|
01A03-04|Is this reporting system applied in all locations and organizations including subsidiaries?|4|3||E2|16.1.1; 16.1.2|13.1.1; 13.2.1|
01A03-05|Are the form and description of incidents recorded in a database enabling continuous improvement as well as easy selective access in order to be able to follow up the resolution of individual incidents?|2|||E2|16.1.6|13.2.2|
01A03-06|Is the collection of forensic proofs performed each time a legal action is considered? |2|||E2|16.1.7|13.2.3|
01A03-07|Is the implementation and updating of the incident management system followed-up using a dashboard and a regular review which are transformed into action plans?|2|2||R1|12.6.1||
01A04|Organization of audits and audit program|||||||
01A04-01|Has the security function communicated to internal auditors (or the structure responsible for internal audits) a reference guide related to the information system security, describing in particular, the obligations of each category of personnel, the mandatory directives and the recommendations?|4|2||E2|12.7.1||
01A04-02|Is the procedure, allowing derogation from internal directives, written into the audit reference documentation and is the procedure auditable?|4|||E2|12.7.1||
01A04-03|Is there a coordination structure or a procedure enabling information security managers to define the annual audit program or to participate in its definition?|4|||E3|12.7.1||
01A04-04|Is the CISO informed of the audit results which concern information systems security?|2|3||E2|12.7.1||
01A04-05|Is the CISO informed of summary audit results not specifically related to information systems security and does (s)he have access to corresponding detailed audit reports?|4|||E2|12.7.1||
01A04-06|Has the annual audit program been presented to and approved by the management? |2|||E2|12.7.1||
01A04-07|Is the organization of annual information system audits subject to a regularly reviewed and followed-up dashboard?|2|3||R1|||
01A05|Crisis management related to information security|||||||
01A05-01|Is there a crisis plan in all buildings which details, as a function of various symptoms, the names and contact details of all persons to notify in order that they may effect an initial diagnosis and, as a function of this diagnosis, the members of the crisis team to convoke and the most urgent actions to carry out?|4|2||E1|||
01A05-02|Is there an alert procedure, distributed to the entire organization, which enables directly or indirectly (via surveillance personnel) to contact the various persons likely to initiate a crisis plan?|2|||E1|||
01A05-03|Does the crisis plan describe in detail the major crisis situations linked to information systems and does it address issues specific to them?|4|2||E2|||
01A05-04|Does the crisis plan include the implementation of corresponding logistical means (equipped war room, communications etc.)?|4|2||E2|||
01A05-05|Are there tools or procedures which enable the updating of the crisis plan and is this updating audited?|4|3||R1|||
01B|Security Reference Guide|||||||
01B01|"Obligations and responsibilities of personnel and management
This includes all staff, internal and external (temporary contractors, trainees, etc.)"|||||||
01B01-01|Are the responsibilities and obligations of staff with regard to the usage, preservation, archiving and non disclosure of information detailed in a memo or document available to management?|4|||E1|7.2.1||
01B01-02|Does this document specify the personnel's duties and responsibilities regarding the use and protection of the authentication means (passwords, keys, tokens, badges, etc.) at its disposal?|1|||E2|9.3.1|11.3.1|
