9|MEHARI_ApplicationSecurity|||||||
09A|Application access control |||||||
09A01|Management of application data access profiles |||||||
09A01-01|Has a management policy for access rights to data and information been established, built from an analysis of the security requirements based on the business stakes?|2|||E1|9.1.1|11.1.1|
09A01-02|"Is access to applications and associated data defined in terms of job profiles which regroup roles or functions within the organization (a profile defines access rights available  to holders of the profile)?
Note: in certain circumstances the notion of ""profile"" may be replaced by the notion of ""group""."|4|2||E1|9.2.3; 9.2.5; 9.4.1|11.2.2; 11.6.1|
09A01-03|Is it possible to adjust the access rights (that establish rights attributed to a given profile), variable parameters based on the connection context such as the origin of the request or network paths used, or depending on protection means used (protocol, encryption, etc) and on the classification of the resources accessed?|4|||E2|||
09A01-04|Do the access profiles also allow definition of working time limits and periods in the working calendar (daily hours, weekends, holidays etc.)?|2|||E3|9.4.2|11.5.6|
09A01-05|Have these profiles and the access rights attributed to the different profiles been approved by the information owners and/or the Information Security Officer?|4|||E2|||
09A01-06|"Are the processes of definition and management of rights attributed to profiles under strict control?
A strict control requires that the list of people allowed to change rights attributed to profiles be strictly limited and that the implementation of these rights (e.g. into tables) be strictly secure and that there exist a reinforced access control for any modification of these rights and that any modification be logged and audited."|4|2||R1|||
09A01-07|Is it possible to review at any time the list of profiles and the rights attributed to each profile?|2|2||C1|||
09A01-08|Is there a regular audit, at least once a year, of the totality of rights attributed to each profile and the profile management procedures?|4|2||C1|9.2.5|11.2.4|
09A02|Management of access authorizations to application data (granting, delegation, revocation) |||||||
09A02-01|Does the procedure of granting access authorization to applications require the formal authorization of line management  (at a sufficiently senior level)?|4|2||E1|9.4.1|11.6.1|
09A02-02|Are authorizations granted to named individuals and only as a function of their profile?|2|||E1||11.6.1|
09A02-03|"Is the procedure for granting (or modification or revocation) of access rights (directly or via a profile) strictly controlled?
A strict control requires a formal recognition of the signature (electronic or otherwise) of the requester, that the implementation of the profile attributed to users in the form of tables is highly secure and that there be a reinforced access control over the modification of such records and that any modification of records be logged and audited."|4|2|3|E2|9.2.3|11.2.2|
09A02-04|Is there a systematic process of updating the table of access rights at the time of departure of personnel (internal or external personnel)?|4|||E2|9.2.5|11.2.4|
09A02-05|Is there a systematic process of updating the table of access rights at the time of change of function?|4|||E3|9.2.5|11.2.4|
09A02-06|"Is there a strictly controlled process (see below) which allows rights to be delegated, in part or in whole, to a person of choice for a determined period (in case of absence)?
In this case, the delegated rights must no longer be available to the person who has delegated them during this time. The latter however, must have the possibility of taking them back, by which process he or she effectively ends the delegation."|4|||E3|||
09A02-07|Is it possible to control at any time, for all users, the rights, authorizations and privileges in force?|2|||C1|||
09A02-08|Is there a regular audit, at least once a year, of the profiles and authorizations granted to all personnel and the procedures for management of attributed profiles?|1|2||C1|9.2.5|11.2.4|
09A03|Authentication of the access requester|||||||
09A03-01|Does the process of distribution or modification of the user credentials guarantee that only the holder of the identifier has access (initial communication is confidential, password change is under the exclusive control of the user, etc.)?  |2|1||E1| 9.4.3|11.5.3|
09A03-02|"Does the process of creation or modification of a user credentials respect a set of rules which ensures its intrinsic validity?
In the case of passwords: sufficient length (8 characters or more), obligatory mixture of types of characters, frequent change (less than once a month), impossibility of reusing an old password, non-trivial word test using a dictionary, banning of ""standard systems"", first names, anagrams of user name, dates etc.
In the case of certificates or use made of cryptographic mechanisms for authentication: a generation process evaluated or publicly recognized, encryption keys of a sufficient length etc."|4|2||E2| 9.4.3|11.2.3; 11.5.3|
09A03-03|"Does the presentation of his credentials by the user guarantee their inviolability?
Typing a password will always be a weak point. The only processes whose observation does not divulge information consist either of introducing an object containing a secret (smart card), or using a code which changes at every moment (token card) or using a means of which contains some biometric characteristic."|4|2||E3| 9.4.3|11.5.3|
